V1,V2,V3,V4,V5,AName
6,12,0,1,22,安宅里
6,13,0,1,22,港通里
6,14,0,1,22,豐功里
6,15,0,1,22,興南里
2,0,0,2,22,興華里
4,0,0,2,22,白河里
6,5,0,2,22,德興村
6,7,0,2,22,光華村
6,9,0,2,22,菜寮村
5,0,0,4,22,新發里
7,1,0,5,22,新市里
1,0,0,1,23,長安里
3,0,0,1,23,幸福里
6,1,0,1,23,七張里
6,2,0,1,23,外社村
6,3,0,1,23,大眉里
6,4,0,1,23,頂埔里
6,6,0,1,23,南埔里
6,8,0,1,23,崩山村
6,10,0,1,23,中心里
6,11,0,1,23,主農里
6,12,0,1,23,興仁里
6,13,0,1,23,義重里
6,14,0,1,23,武功里
6,15,0,1,23,豐年里
4,0,0,2,23,永安里
6,7,0,2,23,五港村
6,9,0,2,23,司馬村
2,0,0,3,23,中和里
6,5,0,3,23,竹營里
5,0,0,4,23,荖濃里
7,1,0,5,23,山外里
1,0,0,1,24,大同里
3,0,0,1,24,日南里
6,1,0,1,24,慈安里
6,2,0,1,24,坑子村
6,3,0,1,24,大義里
6,4,0,1,24,崎頂里
6,6,0,1,24,坪頂里
6,8,0,1,24,古林村
6,10,0,1,24,馬蘭里
6,11,0,1,24,主安里
6,12,0,1,24,烏崁里
6,13,0,1,24,正義里
6,14,0,1,24,軍功里
6,15,0,1,24,芳草里
4,0,0,2,24,外角里
6,7,0,2,24,富琦村
6,9,0,2,24,舊寮村
2,0,0,3,24,屯山里
6,5,0,3,24,和東里
5,0,0,4,24,六龜里
7,1,0,5,24,溪湖里
1,0,0,1,25,溫泉里
3,0,0,1,25,龍泉里
6,1,0,1,25,新民里
